Redshift,K-band mag,K-band dmag
 0.157, 19.488, 0.102
 0.187, 21.089, 0.390
 0.145, 15.429, 0.003
 0.095, 21.298, 0.457
 0.149, 20.025, 0.163
 0.077, 20.199, 0.189
 0.107, 16.149, 0.005
 0.133, 20.419, 0.228
 0.176, 19.837, 0.139
 0.071, 21.569, 0.559
 0.121, 17.470, 0.017
 0.069, 15.556, 0.003
 0.139, 16.480, 0.007
 0.146, 21.865, 0.687
 0.131, 21.064, 0.382
 0.171, 20.355, 0.216
 0.057, 21.411, 0.498
 0.077, 21.419, 0.500
 0.166, 21.812, 0.663
 0.167, 21.357, 0.478
 0.137, 20.895, 0.335
 0.155, 20.984, 0.359
 0.111, 20.374, 0.219
 0.162, 16.164, 0.005
 0.112, 20.164, 0.184
 0.087, 21.760, 0.639
 0.070, 18.722, 0.052
 0.122, 18.826, 0.057
 0.092, 21.257, 0.443
 0.171, 17.218, 0.013
 0.131, 19.851, 0.141
 0.193, 19.084, 0.072
 0.103, 21.359, 0.479
 0.168, 21.263, 0.445
 0.178, 20.741, 0.296
 0.063, 21.793, 0.654
 0.187, 16.072, 0.005
 0.184, 21.702, 0.614
 0.167, 21.139, 0.405
 0.106, 21.419, 0.500
 0.195, 21.950, 0.728
 0.090, 19.916, 0.149
 0.029, 12.434, 0.000
 0.190, 21.678, 0.603
 0.131, 19.892, 0.146
 0.158, 19.767, 0.131
 0.119, 21.923, 0.715
 0.174, 20.254, 0.198
 0.122, 21.684, 0.606
 0.181, 21.189, 0.421
 0.184, 21.262, 0.445
 0.190, 21.096, 0.392
 0.185, 19.809, 0.135
 0.097, 21.751, 0.635
 0.113, 19.860, 0.142
 0.114, 21.834, 0.673
 0.177, 21.733, 0.627
 0.132, 19.663, 0.119
 0.129, 20.589, 0.262
 0.140, 21.594, 0.569
 0.156, 18.935, 0.063
 0.155, 21.851, 0.681
 0.118, 18.530, 0.044
 0.157, 19.090, 0.072
 0.120, 20.539, 0.251
 0.169, 21.630, 0.583
 0.195, 20.766, 0.302
 0.048, 21.707, 0.616
 0.177, 17.149, 0.012
 0.173, 20.891, 0.334
 0.132, 21.320, 0.465
 0.192, 18.304, 0.035
 0.190, 21.392, 0.491
